,Escola,Curso,Cor ,Genero,Ano,Idade,Demora dormir,Sonhos ruins,Qualidade do sono,Relação com Amigos,Relação com Professores,Auto-Imag,Fisico,Social,Verbal,Material,Virtual,Mora com pais,Escolari-mãe,Escolari-pai,Nota-exatas,Nota-humanas,Nota-biológicas,Tipo escola,Nota-media
30,ETIM,Integrado,Branca,Masculino,3,18,> 3 vezes por semana,0,Ruim,Boa,Boa,Regular,0,1,0,0,0,Sim,Fundamental 2,Ensino médio,3,4,3,Pública,3.3333333333333335
31,ETIM,Integrado,Parda,Feminino,3,18,2-3 vezes por semana,2,Ruim,Boa,Boa,Boa,0,5,0,0,0,Sim,Graduação,Ensino médio,3,5,4,Pública,4.0
32,ETIM,Integrado,Branca,Feminino,3,18,1-2 vezes por semana,0,Boa,Boa,Boa,Muito boa,0,2,1,0,1,Sim,Graduação,Ensino médio,3,4,4,Pública,3.6666666666666665
33,ETIM,Integrado,Branca,Feminino,1,15,2-3 vezes por semana,1,Regular,Muito boa,Regular,Regular,0,0,0,0,0,Sim,Fundamental 2,Fundamental 2,5,3,3,Pública,3.6666666666666665
34,ETIM,Integrado,Parda,Feminino,1,15,1-2 vezes por semana,1,Boa,Regular,Boa,Boa,0,0,0,0,0,Sim,Ensino médio,Ensino médio,2,4,3,Pública,3.0
35,ETIM,Integrado,Parda,Feminino,1,15,2-3 vezes por semana,2,Regular,Muito boa,Boa,Regular,0,2,1,0,0,Sim,Pós-graduação,Graduação,4,4,4,Pública,4.0
36,ETIM,Integrado,Branca,Feminino,1,15,< 1 vez por semana,1,Regular,Muito boa,Muito boa,Boa,0,0,0,0,0,Sim,Graduação,Ensino médio,4,5,3,Pública,4.0
37,ETIM,Integrado,Parda,Masculino,1,15,< 1 vez por semana,0,Boa,Boa,Muito boa,Muito ruim,0,1,0,1,0,Sim,Ensino médio,Ensino médio,1,5,4,Pública,3.3333333333333335
38,ETIM,Integrado,Branca,Feminino,1,15,< 1 vez por semana,0,Regular,Muito boa,Muito boa,Muito boa,0,0,0,0,0,Sim,Pós-graduação,Pós-graduação,5,4,5,Pública,4.666666666666667
39,ETIM,Integrado,Branca,Feminino,1,15,1-2 vezes por semana,1,Regular,Ruim,Regular,Muito boa,2,4,2,0,1,Sim,Graduação,Graduação,3,4,3,Pública,3.3333333333333335
40,ETIM,Integrado,Branca,Masculino,3,18,1-2 vezes por semana,1,Boa,Muito boa,Boa,Boa,0,1,5,1,0,Não,Ensino médio,Ensino médio,4,5,4,Pública,4.333333333333333
41,ETIM,Integrado,Parda,Feminino,3,17,2-3 vezes por semana,3,Regular,Muito boa,Boa,Regular,1,0,0,0,0,Sim,Ensino médio,Ensino médio,4,4,3,Pública,3.6666666666666665
42,ETIM,Integrado,Branca,Masculino,3,17,1-2 vezes por semana,0,Boa,Muito boa,Muito boa,Muito boa,1,0,1,0,0,Sim,Ensino médio,Graduação,3,4,4,Pública,3.6666666666666665
