,Escola,Curso,Cor ,Genero,Ano,Idade,Demora dormir,Sonhos ruins,Qualidade do sono,Relação com Amigos,Relação com Professores,Auto-Imag,Fisico,Social,Verbal,Material,Virtual,Mora com pais,Escolari-mãe,Escolari-pai,Nota-exatas,Nota-humanas,Nota-biológicas,Tipo escola,Bullying Total,Sofreu Bullying?,Cor Agrupada,Média-notas,Média-notas-cat,SOFREU-BULLYING
31,ETIM,Integrado,Parda,Feminino,3,18,2-3 vezes por semana,2,Ruim,Boa,Boa,Boa,0,5,0,0,0,Sim,Graduação,Ensino médio,3,5,4,Pública,5,Sofreu Bullying,Não-Branca,4.0,4.0,True
113,ETIM,Integrado,Branca,Masculino,2,17,> 3 vezes por semana,0,Muito ruim,Boa,Boa,Regular,0,0,0,0,0,Sim,Fundamental 2,Ensino médio,5,3,5,Pública,0,Não Sofreu Bullying,Branca,4.333333333333333,4.333333333333333,False
370,ETEC-BQ,Conc-Sub,Negra,Feminino,3,18,< 1 vez por semana,0,Ruim,Boa,Boa,Muito boa,0,0,0,0,0,Não,Graduação,Ensino médio,3,4,4,Pública,0,Não Sofreu Bullying,Não-Branca,3.6666666666666665,3.6666666666666665,False
299,SJ,Integrado,Negra,Feminino,1,15,1-2 vezes por semana,0,Muito ruim,Muito boa,Muito boa,Muito boa,0,0,3,1,0,Sim,Ensino médio,Fundamental 1,2,4,4,Privada,4,Sofreu Bullying,Não-Branca,3.333333333333333,3.333333333333333,True
192,IFSP,Integrado,Branca,Masculino,2,17,1-2 vezes por semana,1,Ruim,Muito boa,Boa,Boa,0,1,0,2,0,Não,Ensino médio,Fundamental 2,4,4,5,Pública,3,Sofreu Bullying,Branca,4.333333333333333,4.333333333333333,True
132,ETIM,Integrado,Branca,Masculino,3,18,> 3 vezes por semana,1,Muito ruim,Muito boa,Muito ruim,Boa,1,2,4,0,0,Sim,Ensino médio,Graduação,2,3,3,Pública,7,Sofreu Bullying,Branca,2.6666666666666665,2.6666666666666665,True
57,ETIM,Integrado,Parda,Masculino,2,18,< 1 vez por semana,1,Boa,Boa,Regular,Ruim,1,2,3,2,1,Não,Ensino médio,Ensino médio,3,4,3,Pública,9,Sofreu Bullying,Não-Branca,3.333333333333333,3.333333333333333,True
182,ETIM,Integrado,Parda,Masculino,3,18,> 3 vezes por semana,0,Boa,Muito boa,Boa,Muito boa,0,0,0,0,0,Sim,Graduação,Graduação,3,3,3,Pública,0,Não Sofreu Bullying,Não-Branca,3.0,3.0,False
24,ETIM,Integrado,Parda,Feminino,3,17,> 3 vezes por semana,2,Muito ruim,Regular,Regular,Ruim,0,4,3,0,0,Sim,Fundamental 2,Ensino médio,3,4,3,Pública,7,Sofreu Bullying,Não-Branca,3.333333333333333,3.333333333333333,True
17,ETIM,Integrado,Parda,Feminino,2,16,2-3 vezes por semana,2,Regular,Boa,Regular,Regular,0,3,2,2,0,Sim,Fundamental ,Fundamental 1,5,5,5,Pública,7,Sofreu Bullying,Não-Branca,5.0,5.0,True
180,ETIM,Integrado,Branca,Masculino,2,16,> 3 vezes por semana,1,Boa,Muito boa,Muito boa,Boa,2,0,2,2,0,Sim,Graduação,Pós-graduação,4,4,3,Pública,6,Sofreu Bullying,Branca,3.6666666666666665,3.6666666666666665,True
