,Escola,Curso,Cor ,Genero,Ano,Idade,Demora dormir,Sonhos ruins,Qualidade do sono,Relação com Amigos,Relação com Professores,Auto-Imag,Fisico,Social,Verbal,Material,Virtual,Mora com pais,Escolari-mãe,Escolari-pai,Nota-exatas,Nota-humanas,Nota-biológicas,Tipo escola,Bullying Total,Sofreu Bullying?,Cor Agrupada,Média-notas,Média-notas-cat,SOFREU-BULLYING
119,ETIM,Integrado,Branca,Masculino,2,16,2-3 vezes por semana,0,Ruim,Muito boa,Boa,Boa,0,1,6,0,1,Sim,Pós-graduação,Pós-graduação,4,4,4,Pública,8,Sofreu Bullying,Branca,4.0,4.0,True
277,RB,Integrado,Branca,Feminino,3,16,2-3 vezes por semana,1,Ruim,Regular,Regular,Boa,1,6,3,1,5,Sim,Pós-graduação,Pós-graduação,3,4,4,Privada,16,Sofreu Bullying,Branca,3.6666666666666665,3.6666666666666665,True
294,RB,Integrado,Branca,Feminino,3,17,> 3 vezes por semana,1,Ruim,Muito boa,Boa,Boa,0,5,0,0,1,Sim,Graduação,Graduação,1,4,3,Privada,6,Sofreu Bullying,Branca,2.6666666666666665,2.6666666666666665,True
441,ETEC-BQ,Conc-Sub,Branca,Masculino,2,18,1-2 vezes por semana,0,Muito boa,Muito boa,Muito boa,Boa,0,0,0,0,0,Sim,Ensino médio,Graduação,4,4,4,Pública,0,Não Sofreu Bullying,Branca,4.0,4.0,False
347,ETEC-OS,Conc-Sub,Parda,Masculino,3,18,> 3 vezes por semana,1,Regular,Boa,Boa,Boa,4,4,4,4,4,Não,Graduação,Graduação,4,3,4,Pública,20,Sofreu Bullying,Não-Branca,3.6666666666666665,3.6666666666666665,True
351,ETEC-BQ,Conc-Sub,Branca,Feminino,2,17,> 3 vezes por semana,2,Regular,Boa,Regular,Regular,0,0,0,0,0,Não,Ensino médio,Fundamental 2,5,4,4,Pública,0,Não Sofreu Bullying,Branca,4.333333333333333,4.333333333333333,False
244,RB,Integrado,Branca,Feminino,1,15,< 1 vez por semana,1,Muito boa,Muito boa,Muito boa,Muito boa,0,1,1,2,0,Sim,Pós-graduação,Pós-graduação,2,4,3,Privada,4,Sofreu Bullying,Branca,3.0,3.0,True
222,IFSP,Integrado,Negra,Feminino,2,17,1-2 vezes por semana,0,Ruim,Muito boa,Boa,Muito boa,0,0,0,0,0,Sim,Ensino médio,Ensino médio,3,5,4,Pública,0,Não Sofreu Bullying,Não-Branca,4.0,4.0,False
375,ETEC-BQ,Conc-Sub,Branca,Masculino,2,18,< 1 vez por semana,1,Ruim,Muito boa,Muito boa,Muito boa,2,2,4,0,2,Sim,Fundamental 1,Fundamental 1,3,4,4,Pública,10,Sofreu Bullying,Branca,3.6666666666666665,3.6666666666666665,True
406,ETEC-BQ,Conc-Sub,Parda,Masculino,4,18,> 3 vezes por semana,0,Ruim,Muito boa,Muito boa,Boa,0,5,1,0,2,Sim,Ensino médio,Fundamental 2,5,4,4,Pública,8,Sofreu Bullying,Não-Branca,4.333333333333333,4.333333333333333,True
36,ETIM,Integrado,Branca,Feminino,1,15,< 1 vez por semana,1,Regular,Muito boa,Muito boa,Boa,0,0,0,0,0,Sim,Graduação,Ensino médio,4,5,3,Pública,0,Não Sofreu Bullying,Branca,4.0,4.0,False
196,IFSP,Integrado,Branca,Masculino,2,16,< 1 vez por semana,0,Regular,Muito boa,Muito boa,Muito boa,2,0,0,0,0,Sim,Pós-graduação,Pós-graduação,5,5,5,Pública,2,Sofreu Bullying,Branca,5.0,5.0,True
139,ETIM,Integrado,Branca,Feminino,2,16,> 3 vezes por semana,3,Regular,Regular,Boa,Muito ruim,3,4,2,0,0,Sim,Graduação,Ensino médio,3,4,4,Pública,9,Sofreu Bullying,Branca,3.6666666666666665,3.6666666666666665,True
357,ETEC-BQ,Conc-Sub,Branca,Masculino,1,16,1-2 vezes por semana,0,Boa,Muito boa,Regular,Regular,0,0,1,0,0,Sim,Ensino médio,Ensino médio,4,3,2,Pública,1,Sofreu Bullying,Branca,3.0,3.0,True
412,ETEC-BQ,Conc-Sub,Negra,Masculino,4,18,1-2 vezes por semana,1,Boa,Boa,Muito boa,Boa,0,0,0,0,0,Não,Fundamental 1,Fundamental 1,4,4,4,Pública,0,Não Sofreu Bullying,Não-Branca,4.0,4.0,False
280,RB,Integrado,Branca,Feminino,3,18,> 3 vezes por semana,0,Boa,Muito boa,Boa,Muito boa,0,1,0,0,0,Sim,Graduação,Graduação,3,4,4,Privada,1,Sofreu Bullying,Branca,3.6666666666666665,3.6666666666666665,True
281,RB,Integrado,Branca,Feminino,3,17,1-2 vezes por semana,3,Regular,Muito boa,Boa,Regular,0,0,1,0,0,Sim,Graduação,Graduação,3,5,4,Privada,1,Sofreu Bullying,Branca,4.0,4.0,True
59,ETIM,Integrado,Branca,Masculino,2,17,< 1 vez por semana,0,Regular,Boa,Boa,Boa,4,2,4,0,0,Sim,Ensino médio,Ensino médio,5,3,4,Pública,10,Sofreu Bullying,Branca,4.0,4.0,True
111,ETIM,Integrado,Branca,Masculino,2,16,1-2 vezes por semana,3,Ruim,Muito boa,Regular,Muito boa,4,3,6,1,0,Não,Graduação,Ensino médio,3,5,4,Pública,14,Sofreu Bullying,Branca,4.0,4.0,True
287,RB,Integrado,Branca,Masculino,3,18,> 3 vezes por semana,0,Ruim,Muito boa,Muito boa,Boa,0,0,4,0,0,Sim,Graduação,Graduação,3,5,4,Privada,4,Sofreu Bullying,Branca,4.0,4.0,True
409,ETEC-BQ,Conc-Sub,Branca,Masculino,4,18,2-3 vezes por semana,1,Ruim,Regular,Boa,Regular,1,6,6,2,3,Sim,Ensino médio,Graduação,4,3,4,Pública,18,Sofreu Bullying,Branca,3.6666666666666665,3.6666666666666665,True
6,ETIM,Integrado,Parda,Masculino,1,16,> 3 vezes por semana,1,Ruim,Boa,Boa,Regular,0,0,0,0,0,Sim,Ensino médio,Graduação,3,3,3,Pública,0,Não Sofreu Bullying,Não-Branca,3.0,3.0,False
353,ETEC-BQ,Conc-Sub,Branca,Masculino,2,18,> 3 vezes por semana,0,Regular,Boa,Boa,Boa,0,0,0,0,0,Sim,Ensino médio,Ensino médio,4,3,3,Pública,0,Não Sofreu Bullying,Branca,3.333333333333333,3.333333333333333,False
423,ETEC-BQ,Conc-Sub,Branca,Masculino,2,18,> 3 vezes por semana,0,Muito boa,Boa,Boa,Muito boa,3,3,6,5,0,Sim,Pós-graduação,Graduação,3,3,3,Pública,17,Sofreu Bullying,Branca,3.0,3.0,True
332,ETEC-OS,Conc-Sub,Negra,Feminino,1,19,< 1 vez por semana,0,Regular,Muito boa,Regular,Boa,4,4,4,4,4,Sim,Fundamental 1,Fundamental 1,3,4,4,Pública,20,Sofreu Bullying,Não-Branca,3.6666666666666665,3.6666666666666665,True
158,ETIM,Integrado,Branca,Masculino,3,18,> 3 vezes por semana,0,Regular,Boa,Regular,Muito boa,1,0,3,2,2,Sim,Pós-graduação,Ensino médio,4,4,4,Pública,8,Sofreu Bullying,Branca,4.0,4.0,True
150,ETIM,Integrado,Branca,Masculino,1,15,2-3 vezes por semana,0,Regular,Muito boa,Boa,Muito boa,0,0,1,0,0,Sim,Ensino médio,Ensino médio,4,5,4,Pública,1,Sofreu Bullying,Branca,4.333333333333333,4.333333333333333,True
177,ETIM,Integrado,Branca,Masculino,2,16,2-3 vezes por semana,0,Ruim,Ruim,Regular,Muito ruim,4,4,6,2,2,Sim,Ensino médio,Ensino médio,2,4,3,Pública,18,Sofreu Bullying,Branca,3.0,3.0,True
386,ETEC-BQ,Conc-Sub,Negra,Feminino,2,18,> 3 vezes por semana,1,Regular,Boa,Boa,Regular,0,0,0,0,0,Não,Fundamental 1,Fundamental 2,3,4,4,Pública,0,Não Sofreu Bullying,Não-Branca,3.6666666666666665,3.6666666666666665,False
184,ETIM,Integrado,Parda,Masculino,3,18,2-3 vezes por semana,3,Regular,Muito boa,Boa,Ruim,1,0,3,1,2,Sim,Ensino médio,Ensino médio,4,4,4,Pública,7,Sofreu Bullying,Não-Branca,4.0,4.0,True
278,RB,Integrado,Branca,Feminino,3,17,< 1 vez por semana,1,Boa,Muito boa,Boa,Regular,0,3,2,0,0,Sim,Pós-graduação,Pós-graduação,4,3,4,Privada,5,Sofreu Bullying,Branca,3.6666666666666665,3.6666666666666665,True
10,ETIM,Integrado,Parda,Feminino,1,15,1-2 vezes por semana,0,Regular,Boa,Boa,Regular,0,0,0,2,0,Sim,Ensino médio,Ensino médio,2,4,4,Pública,2,Sofreu Bullying,Não-Branca,3.333333333333333,3.333333333333333,True
373,ETEC-BQ,Conc-Sub,Branca,Feminino,3,18,> 3 vezes por semana,1,Muito ruim,Regular,Regular,Muito ruim,0,0,0,0,0,Sim,Graduação,Ensino médio,2,4,3,Pública,0,Não Sofreu Bullying,Branca,3.0,3.0,False
103,ETIM,Integrado,Branca,Masculino,1,15,> 3 vezes por semana,1,Ruim,Muito boa,Boa,Muito boa,3,0,2,0,0,Não,Graduação,Graduação,3,3,3,Pública,5,Sofreu Bullying,Branca,3.0,3.0,True
81,ETIM,Integrado,Negra,Masculino,3,19,2-3 vezes por semana,2,Ruim,Regular,Boa,Ruim,2,6,5,4,2,Sim,Ensino médio,Ensino médio,3,3,4,Pública,19,Sofreu Bullying,Não-Branca,3.333333333333333,3.333333333333333,True
38,ETIM,Integrado,Branca,Feminino,1,15,< 1 vez por semana,0,Regular,Muito boa,Muito boa,Muito boa,0,0,0,0,0,Sim,Pós-graduação,Pós-graduação,5,4,5,Pública,0,Não Sofreu Bullying,Branca,4.666666666666667,4.666666666666667,False
408,ETEC-BQ,Conc-Sub,Branca,Masculino,4,18,> 3 vezes por semana,2,Ruim,Regular,Boa,Ruim,0,1,2,0,0,Não,Ensino médio,Graduação,4,3,3,Pública,3,Sofreu Bullying,Branca,3.333333333333333,3.333333333333333,True
167,ETIM,Integrado,Branca,Masculino,1,15,< 1 vez por semana,1,Muito boa,Boa,Boa,Regular,0,0,0,0,0,Sim,Graduação,Graduação,3,2,2,Pública,0,Não Sofreu Bullying,Branca,2.333333333333333,2.333333333333333,False
475,ETEC-HM,Conc-Sub,Parda,Feminino,2,19,> 3 vezes por semana,1,Regular,Boa,Muito boa,Ruim,0,0,1,0,0,Não,Ensino médio,Ensino médio,5,5,4,Pública,1,Sofreu Bullying,Não-Branca,4.666666666666667,4.666666666666667,True
291,RB,Integrado,Branca,Feminino,3,17,1-2 vezes por semana,1,Ruim,Muito boa,Muito boa,Muito boa,0,1,0,0,1,Não,Pós-graduação,Pós-graduação,2,4,5,Privada,2,Sofreu Bullying,Branca,3.6666666666666665,3.6666666666666665,True
367,ETEC-BQ,Conc-Sub,Branca,Masculino,1,18,1-2 vezes por semana,0,Muito boa,Boa,Boa,Regular,0,0,0,0,0,Sim,Ensino médio,Graduação,4,5,4,Pública,0,Não Sofreu Bullying,Branca,4.333333333333333,4.333333333333333,False
198,IFSP,Integrado,Branca,Masculino,2,16,1-2 vezes por semana,0,Boa,Muito boa,Boa,Regular,2,0,2,0,0,Sim,Graduação,Ensino médio,3,3,3,Pública,4,Sofreu Bullying,Branca,3.0,3.0,True
354,ETEC-BQ,Conc-Sub,Parda,Feminino,1,18,2-3 vezes por semana,1,Boa,Muito boa,Boa,Boa,0,0,0,0,0,Sim,Fundamental 1,Graduação,3,5,5,Pública,0,Não Sofreu Bullying,Não-Branca,4.333333333333333,4.333333333333333,False
250,RB,Integrado,Branca,Feminino,1,15,> 3 vezes por semana,1,Boa,Muito boa,Muito boa,Boa,0,1,1,0,0,Sim,Graduação,Graduação,2,2,2,Privada,2,Sofreu Bullying,Branca,2.0,2.0,True
247,RB,Integrado,Branca,Feminino,1,15,2-3 vezes por semana,1,Ruim,Boa,Muito boa,Regular,0,5,2,0,0,Não,Pós-graduação,Pós-graduação,5,2,5,Privada,7,Sofreu Bullying,Branca,4.0,4.0,True
194,IFSP,Integrado,Parda,Feminino,2,16,< 1 vez por semana,1,Regular,Boa,Boa,Boa,0,2,0,2,0,Não,Fundamental 2,Ensino médio,3,4,4,Pública,4,Sofreu Bullying,Não-Branca,3.6666666666666665,3.6666666666666665,True
89,ETIM,Integrado,Branca,Feminino,3,17,2-3 vezes por semana,3,Muito ruim,Ruim,Muito boa,Muito ruim,1,5,4,0,4,Não,Fundamental 1,Ensino médio,1,2,2,Pública,14,Sofreu Bullying,Branca,1.6666666666666667,1.6666666666666667,True
146,ETIM,Integrado,Branca,Feminino,1,16,2-3 vezes por semana,1,Regular,Boa,Boa,Boa,0,0,0,1,0,Sim,Graduação,Fundamental 2,4,4,4,Pública,1,Sofreu Bullying,Branca,4.0,4.0,True
163,ETIM,Integrado,Branca,Masculino,1,16,> 3 vezes por semana,1,Ruim,Muito boa,Boa,Ruim,2,2,6,0,1,Sim,Ensino médio,Ensino médio,4,4,4,Pública,11,Sofreu Bullying,Branca,4.0,4.0,True
255,RB,Integrado,Branca,Feminino,2,16,> 3 vezes por semana,0,Regular,Boa,Muito boa,Boa,0,0,1,0,0,Sim,Pós-graduação,Pós-graduação,5,5,5,Privada,1,Sofreu Bullying,Branca,5.0,5.0,True
147,ETIM,Integrado,Parda,Feminino,1,16,< 1 vez por semana,0,Regular,Muito boa,Boa,Regular,0,0,0,0,0,Sim,Ensino médio,Ensino médio,3,5,4,Pública,0,Não Sofreu Bullying,Não-Branca,4.0,4.0,False
2,ETIM,Integrado,Branca,Feminino,1,16,> 3 vezes por semana,1,Ruim,Boa,Boa,Ruim,0,1,2,0,2,Sim,Graduação,Graduação,3,5,4,Pública,5,Sofreu Bullying,Branca,4.0,4.0,True
92,ETIM,Integrado,Branca,Masculino,3,17,2-3 vezes por semana,1,Regular,Boa,Boa,Boa,0,0,3,1,0,Não,Ensino médio,Ensino médio,5,4,5,Pública,4,Sofreu Bullying,Branca,4.666666666666667,4.666666666666667,True
392,ETEC-BQ,Conc-Sub,Parda,Feminino,2,17,1-2 vezes por semana,1,Ruim,Boa,Boa,Ruim,0,0,0,0,0,Não,Ensino médio,Fundamental 2,5,5,4,Pública,0,Não Sofreu Bullying,Não-Branca,4.666666666666667,4.666666666666667,False
69,ETIM,Integrado,Branca,Feminino,1,16,1-2 vezes por semana,2,Regular,Boa,Boa,Ruim,0,1,0,0,0,Sim,Fundamental 2,Graduação,4,4,3,Pública,1,Sofreu Bullying,Branca,3.6666666666666665,3.6666666666666665,True
305,SJ,Integrado,Branca,Feminino,2,16,< 1 vez por semana,1,Ruim,Boa,Muito boa,Ruim,0,4,2,1,0,Não,Pós-graduação,Pós-graduação,4,4,4,Privada,7,Sofreu Bullying,Branca,4.0,4.0,True
123,ETIM,Integrado,Parda,Feminino,3,18,< 1 vez por semana,0,Muito boa,Muito boa,Regular,Boa,5,2,6,2,2,Sim,Graduação,Pós-graduação,2,5,3,Pública,17,Sofreu Bullying,Não-Branca,3.333333333333333,3.333333333333333,True
361,ETEC-BQ,Conc-Sub,Parda,Masculino,1,16,> 3 vezes por semana,1,Boa,Muito boa,Regular,Regular,1,0,1,1,1,Sim,Ensino médio,Ensino médio,3,4,3,Pública,4,Sofreu Bullying,Não-Branca,3.333333333333333,3.333333333333333,True
96,ETIM,Integrado,Branca,Masculino,3,18,1-2 vezes por semana,0,Muito ruim,Boa,Boa,Boa,0,0,0,0,0,Não,Fundamental 1,Fundamental 2,3,3,4,Pública,0,Não Sofreu Bullying,Branca,3.333333333333333,3.333333333333333,False
143,ETIM,Integrado,Branca,Masculino,2,16,1-2 vezes por semana,1,Regular,Boa,Boa,Boa,2,0,1,0,0,Sim,Ensino médio,Fundamental 2,4,3,3,Pública,3,Sofreu Bullying,Branca,3.333333333333333,3.333333333333333,True
239,RB,Integrado,Branca,Masculino,1,15,< 1 vez por semana,0,Muito boa,Muito boa,Muito ruim,Muito boa,0,0,0,4,0,Sim,Graduação,Pós-graduação,4,4,5,Privada,4,Sofreu Bullying,Branca,4.333333333333333,4.333333333333333,True
268,RB,Integrado,Branca,Masculino,2,16,> 3 vezes por semana,0,Regular,Muito boa,Boa,Regular,0,0,4,0,0,Sim,Graduação,Graduação,2,4,3,Privada,4,Sofreu Bullying,Branca,3.0,3.0,True
97,ETIM,Integrado,Branca,Feminino,3,18,2-3 vezes por semana,0,Regular,Boa,Boa,Boa,0,0,0,0,0,Sim,Ensino médio,Ensino médio,4,5,5,Pública,0,Não Sofreu Bullying,Branca,4.666666666666667,4.666666666666667,False
374,ETEC-BQ,Conc-Sub,Parda,Masculino,2,18,2-3 vezes por semana,1,Regular,Boa,Boa,Muito boa,0,0,1,1,0,Sim,Ensino médio,Ensino médio,4,5,5,Pública,2,Sofreu Bullying,Não-Branca,4.666666666666667,4.666666666666667,True
122,ETIM,Integrado,Branca,Feminino,3,18,2-3 vezes por semana,2,Regular,Boa,Boa,Muito boa,0,2,0,0,0,Não,Pós-graduação,Ensino médio,3,4,5,Pública,2,Sofreu Bullying,Branca,4.0,4.0,True
183,ETIM,Integrado,Branca,Masculino,3,19,> 3 vezes por semana,1,Ruim,Boa,Boa,Muito boa,4,4,4,4,2,Não,Ensino médio,Ensino médio,2,5,4,Pública,18,Sofreu Bullying,Branca,3.6666666666666665,3.6666666666666665,True
202,IFSP,Integrado,Parda,Masculino,2,16,1-2 vezes por semana,0,Regular,Muito boa,Regular,Regular,0,1,2,0,0,Não,Graduação,Graduação,1,4,3,Pública,3,Sofreu Bullying,Não-Branca,2.6666666666666665,2.6666666666666665,True
246,RB,Integrado,Branca,Feminino,1,14,1-2 vezes por semana,0,Boa,Muito boa,Muito boa,Boa,0,0,0,0,0,Sim,Pós-graduação,Graduação,4,5,4,Privada,0,Não Sofreu Bullying,Branca,4.333333333333333,4.333333333333333,False
383,ETEC-BQ,Conc-Sub,Parda,Masculino,2,18,< 1 vez por semana,0,Regular,Muito boa,Boa,Boa,0,0,0,0,0,Sim,Fundamental 1,Ensino médio,4,4,4,Pública,0,Não Sofreu Bullying,Não-Branca,4.0,4.0,False
463,ETEC-HM,Conc-Sub,Parda,Feminino,1,19,2-3 vezes por semana,3,Muito ruim,Muito boa,Muito boa,Regular,0,0,0,0,0,Não,Fundamental 2,Fundamental 2,5,5,4,Pública,0,Não Sofreu Bullying,Não-Branca,4.666666666666667,4.666666666666667,False
377,ETEC-BQ,Conc-Sub,Parda,Masculino,2,18,< 1 vez por semana,0,Muito boa,Boa,Muito boa,Muito boa,0,0,0,0,0,Sim,Ensino médio,Ensino médio,4,4,4,Pública,0,Não Sofreu Bullying,Não-Branca,4.0,4.0,False
394,ETEC-BQ,Conc-Sub,Parda,Masculino,1,18,2-3 vezes por semana,1,Boa,Muito boa,Boa,Boa,1,0,1,3,0,Não,Fundamental 1,Fundamental 2,3,4,2,Pública,5,Sofreu Bullying,Não-Branca,3.0,3.0,True
388,ETEC-BQ,Conc-Sub,Parda,Feminino,2,17,> 3 vezes por semana,2,Ruim,Boa,Boa,Ruim,2,2,2,1,0,Não,Fundamental 1,Ensino médio,3,5,5,Pública,7,Sofreu Bullying,Não-Branca,4.333333333333333,4.333333333333333,True
414,ETEC-BQ,Conc-Sub,Parda,Masculino,1,18,> 3 vezes por semana,0,Regular,Boa,Boa,Regular,0,0,2,0,0,Sim,Ensino médio,Ensino médio,3,3,3,Pública,2,Sofreu Bullying,Não-Branca,3.0,3.0,True
125,ETIM,Integrado,Parda,Feminino,3,19,> 3 vezes por semana,2,Ruim,Muito boa,Boa,Regular,1,2,2,1,0,Não,Ensino médio,Ensino médio,3,4,4,Pública,6,Sofreu Bullying,Não-Branca,3.6666666666666665,3.6666666666666665,True
297,SJ,Integrado,Branca,Masculino,1,15,2-3 vezes por semana,1,Regular,Boa,Boa,Regular,2,6,6,6,5,Sim,Ensino médio,Graduação,5,4,3,Privada,25,Sofreu Bullying,Branca,4.0,4.0,True
223,IFSP,Integrado,Parda,Feminino,2,16,> 3 vezes por semana,2,Regular,Boa,Boa,Boa,0,5,0,0,0,Sim,Graduação,Graduação,5,4,5,Pública,5,Sofreu Bullying,Não-Branca,4.666666666666667,4.666666666666667,True
411,ETEC-BQ,Conc-Sub,Branca,Masculino,4,18,1-2 vezes por semana,1,Muito ruim,Boa,Boa,Muito ruim,0,0,0,0,0,Sim,Ensino médio,Ensino médio,3,1,1,Pública,0,Não Sofreu Bullying,Branca,1.6666666666666667,1.6666666666666667,False
219,IFSP,Integrado,Branca,Masculino,2,17,> 3 vezes por semana,2,Regular,Boa,Boa,Regular,0,2,6,0,0,Sim,Graduação,Graduação,4,4,1,Pública,8,Sofreu Bullying,Branca,3.0,3.0,True
129,ETIM,Integrado,Branca,Feminino,3,18,1-2 vezes por semana,1,Regular,Boa,Boa,Muito boa,0,2,3,0,0,Sim,Pós-graduação,Pós-graduação,4,4,4,Pública,5,Sofreu Bullying,Branca,4.0,4.0,True
464,ETEC-HM,Conc-Sub,Negra,Feminino,1,19,> 3 vezes por semana,2,Regular,Muito boa,Muito boa,Regular,0,0,0,0,0,Sim,Fundamental 1,Fundamental 1,5,5,4,Pública,0,Não Sofreu Bullying,Não-Branca,4.666666666666667,4.666666666666667,False
284,RB,Integrado,Branca,Feminino,3,18,2-3 vezes por semana,2,Regular,Muito boa,Boa,Ruim,0,2,1,0,0,Não,Graduação,Pós-graduação,3,5,4,Privada,3,Sofreu Bullying,Branca,4.0,4.0,True
323,SJ,Integrado,Branca,Masculino,3,19,2-3 vezes por semana,1,Regular,Regular,Regular,Muito ruim,4,5,6,2,5,Não,Ensino médio,Ensino médio,2,3,1,Privada,22,Sofreu Bullying,Branca,2.0,2.0,True
369,ETEC-BQ,Conc-Sub,Negra,Masculino,1,18,< 1 vez por semana,2,Regular,Boa,Boa,Muito boa,0,0,0,0,0,Sim,Fundamental 1,Fundamental 1,4,4,4,Pública,0,Não Sofreu Bullying,Não-Branca,4.0,4.0,False
286,RB,Integrado,Branca,Feminino,3,18,2-3 vezes por semana,0,Boa,Muito boa,Boa,Boa,0,0,1,0,0,Não,Pós-graduação,Graduação,4,3,4,Privada,1,Sofreu Bullying,Branca,3.6666666666666665,3.6666666666666665,True
486,ETEC-HM,Conc-Sub,Parda,Masculino,1,19,> 3 vezes por semana,1,Regular,Boa,Boa,Regular,0,0,0,0,0,Não,Ensino médio,Ensino médio,4,4,3,Pública,0,Não Sofreu Bullying,Não-Branca,3.6666666666666665,3.6666666666666665,False
289,RB,Integrado,Branca,Masculino,3,17,2-3 vezes por semana,1,Boa,Muito boa,Muito boa,Boa,0,0,1,1,0,Não,Pós-graduação,Pós-graduação,3,4,3,Privada,2,Sofreu Bullying,Branca,3.333333333333333,3.333333333333333,True
415,ETEC-BQ,Conc-Sub,Branca,Masculino,1,18,> 3 vezes por semana,1,Ruim,Boa,Boa,Regular,0,0,0,0,0,Não,Ensino médio,Ensino médio,3,4,4,Pública,0,Não Sofreu Bullying,Branca,3.6666666666666665,3.6666666666666665,False
334,ETEC-OS,Conc-Sub,Branca,Masculino,1,18,2-3 vezes por semana,2,Regular,Boa,Boa,Regular,3,3,3,3,3,Não,Graduação,Graduação,3,3,3,Pública,15,Sofreu Bullying,Branca,3.0,3.0,True
112,ETIM,Integrado,Branca,Feminino,2,16,2-3 vezes por semana,0,Regular,Muito boa,Regular,Regular,0,0,0,0,0,Não,Ensino médio,Graduação,5,4,4,Pública,0,Não Sofreu Bullying,Branca,4.333333333333333,4.333333333333333,False
179,ETIM,Integrado,Branca,Masculino,2,17,2-3 vezes por semana,0,Ruim,Regular,Boa,Boa,2,4,4,2,1,Sim,Pós-graduação,Graduação,4,4,3,Pública,13,Sofreu Bullying,Branca,3.6666666666666665,3.6666666666666665,True
302,SJ,Integrado,Branca,Feminino,1,15,2-3 vezes por semana,0,Regular,Regular,Boa,Regular,0,1,5,3,0,Não,Ensino médio,Ensino médio,2,5,5,Privada,9,Sofreu Bullying,Branca,4.0,4.0,True
333,ETEC-OS,Conc-Sub,Parda,Feminino,1,18,2-3 vezes por semana,1,Regular,Muito boa,Regular,Ruim,2,2,2,2,2,Não,Fundamental 1,Ensino médio,3,4,4,Pública,10,Sofreu Bullying,Não-Branca,3.6666666666666665,3.6666666666666665,True
324,SJ,Integrado,Branca,Feminino,3,17,> 3 vezes por semana,0,Regular,Muito boa,Muito boa,Muito boa,0,2,6,4,3,Sim,Graduação,Pós-graduação,2,5,5,Privada,15,Sofreu Bullying,Branca,4.0,4.0,True
470,ETEC-HM,Conc-Sub,Parda,Feminino,3,19,> 3 vezes por semana,2,Regular,Muito boa,Boa,Regular,0,0,0,0,0,Sim,Ensino médio,Ensino médio,2,3,3,Pública,0,Não Sofreu Bullying,Não-Branca,2.6666666666666665,2.6666666666666665,False
352,ETEC-BQ,Conc-Sub,Branca,Masculino,2,17,> 3 vezes por semana,1,Regular,Boa,Boa,Boa,0,0,0,1,0,Não,Graduação,Fundamental 2,3,3,3,Pública,1,Sofreu Bullying,Branca,3.0,3.0,True
233,IFSP,Integrado,Branca,Feminino,1,16,< 1 vez por semana,0,Regular,Muito boa,Muito boa,Muito boa,0,0,0,0,0,Não,Graduação,Ensino médio,4,4,4,Pública,0,Não Sofreu Bullying,Branca,4.0,4.0,False
438,ETEC-BQ,Conc-Sub,Negra,Feminino,3,19,> 3 vezes por semana,0,Regular,Muito boa,Muito boa,Boa,0,1,0,0,0,Sim,Fundamental 2,Fundamental 1,4,4,4,Pública,1,Sofreu Bullying,Não-Branca,4.0,4.0,True
164,ETIM,Integrado,Branca,Masculino,1,15,> 3 vezes por semana,1,Regular,Regular,Boa,Ruim,1,2,5,2,6,Não,Fundamental 1,Fundamental 2,5,4,3,Pública,16,Sofreu Bullying,Branca,4.0,4.0,True
136,ETIM,Integrado,Negra,Feminino,2,17,2-3 vezes por semana,2,Regular,Boa,Boa,Muito boa,0,0,0,0,0,Sim,Pós-graduação,Graduação,3,4,5,Pública,0,Não Sofreu Bullying,Não-Branca,4.0,4.0,False
197,IFSP,Integrado,Branca,Masculino,2,16,2-3 vezes por semana,0,Boa,Boa,Boa,Regular,4,1,4,1,2,Sim,Pós-graduação,Pós-graduação,3,3,3,Pública,12,Sofreu Bullying,Branca,3.0,3.0,True
258,RB,Integrado,Branca,Feminino,2,15,2-3 vezes por semana,1,Regular,Boa,Boa,Regular,0,3,3,3,0,Sim,Pós-graduação,Pós-graduação,4,4,3,Privada,9,Sofreu Bullying,Branca,3.6666666666666665,3.6666666666666665,True
232,IFSP,Integrado,Parda,Feminino,1,15,> 3 vezes por semana,0,Ruim,Muito boa,Muito boa,Boa,0,1,0,0,0,Sim,Fundamental 1,Graduação,4,4,4,Pública,1,Sofreu Bullying,Não-Branca,4.0,4.0,True
115,ETIM,Integrado,Parda,Masculino,2,17,< 1 vez por semana,0,Regular,Muito boa,Ruim,Muito boa,0,2,4,2,0,Sim,Fundamental 2,Fundamental 2,5,5,5,Pública,8,Sofreu Bullying,Não-Branca,5.0,5.0,True
120,ETIM,Integrado,Branca,Masculino,2,16,> 3 vezes por semana,2,Ruim,Boa,Regular,Regular,0,0,0,0,0,Sim,Ensino médio,Fundamental 2,4,4,4,Pública,0,Não Sofreu Bullying,Branca,4.0,4.0,False
342,ETEC-OS,Conc-Sub,Branca,Masculino,1,18,1-2 vezes por semana,0,Boa,Muito boa,Boa,Boa,4,4,4,4,4,Sim,Graduação,Ensino médio,5,4,4,Pública,20,Sofreu Bullying,Branca,4.333333333333333,4.333333333333333,True
224,IFSP,Integrado,Branca,Feminino,2,17,2-3 vezes por semana,1,Boa,Boa,Boa,Regular,0,0,0,0,0,Não,Pós-graduação,Ensino médio,3,4,2,Pública,0,Não Sofreu Bullying,Branca,3.0,3.0,False
