,Unnamed: 0,Escola,Curso,Cor ,Genero,Ano,Idade,Demora dormir,Sonhos ruins,Qualidade do sono,Relação com Amigos,Relação com Professores,Auto-Imag,Fisico,Social,Verbal,Material,Virtual,Mora com pais,Escolari-mãe,Escolari-pai,Nota-exatas,Nota-humanas,Nota-biológicas,Tipo escola,Nota-media
245,245,RB,Integrado,Branca,Masculino,1,15,< 1 vez por semana,0,Muito boa,Muito boa,Muito boa,Ruim,0,3,5,6,2,Sim,Pós-graduação,Pós-graduação,1,4,5,Privada,3.333333333333333
440,440,ETEC-BQ,Conc-Sub,Negra,Feminino,2,19,< 1 vez por semana,0,Ruim,Boa,Boa,Boa,0,0,2,0,0,Não,Fundamental 2,Fundamental 2,4,4,4,Pública,4.0
22,22,ETIM,Integrado,Parda,Masculino,3,17,< 1 vez por semana,1,Regular,Boa,Boa,Boa,0,1,0,2,0,Sim,Ensino médio,Ensino médio,5,4,5,Pública,4.666666666666667
321,321,SJ,Integrado,Branca,Masculino,2,17,1-2 vezes por semana,1,Muito ruim,Muito boa,Muito boa,Boa,0,0,0,0,0,Não,Ensino médio,Graduação,5,4,5,Privada,4.666666666666667
46,46,ETIM,Integrado,Parda,Masculino,3,17,2-3 vezes por semana,1,Regular,Muito boa,Boa,Ruim,1,0,2,0,0,Sim,Ensino médio,Pós-graduação,3,3,3,Pública,3.0
31,31,ETIM,Integrado,Parda,Feminino,3,18,2-3 vezes por semana,2,Ruim,Boa,Boa,Boa,0,5,0,0,0,Sim,Graduação,Ensino médio,3,5,4,Pública,4.0
113,113,ETIM,Integrado,Branca,Masculino,2,17,> 3 vezes por semana,0,Muito ruim,Boa,Boa,Regular,0,0,0,0,0,Sim,Fundamental 2,Ensino médio,5,3,5,Pública,4.333333333333333
370,370,ETEC-BQ,Conc-Sub,Negra,Feminino,3,18,< 1 vez por semana,0,Ruim,Boa,Boa,Muito boa,0,0,0,0,0,Não,Graduação,Ensino médio,3,4,4,Pública,3.6666666666666665
299,299,SJ,Integrado,Negra,Feminino,1,15,1-2 vezes por semana,0,Muito ruim,Muito boa,Muito boa,Muito boa,0,0,3,1,0,Sim,Ensino médio,Fundamental 1,2,4,4,Privada,3.333333333333333
192,192,IFSP,Integrado,Branca,Masculino,2,17,1-2 vezes por semana,1,Ruim,Muito boa,Boa,Boa,0,1,0,2,0,Não,Ensino médio,Fundamental 2,4,4,5,Pública,4.333333333333333
132,132,ETIM,Integrado,Branca,Masculino,3,18,> 3 vezes por semana,1,Muito ruim,Muito boa,Muito ruim,Boa,1,2,4,0,0,Sim,Ensino médio,Graduação,2,3,3,Pública,2.6666666666666665
57,57,ETIM,Integrado,Parda,Masculino,2,18,< 1 vez por semana,1,Boa,Boa,Regular,Ruim,1,2,3,2,1,Não,Ensino médio,Ensino médio,3,4,3,Pública,3.333333333333333
182,182,ETIM,Integrado,Parda,Masculino,3,18,> 3 vezes por semana,0,Boa,Muito boa,Boa,Muito boa,0,0,0,0,0,Sim,Graduação,Graduação,3,3,3,Pública,3.0
24,24,ETIM,Integrado,Parda,Feminino,3,17,> 3 vezes por semana,2,Muito ruim,Regular,Regular,Ruim,0,4,3,0,0,Sim,Fundamental 2,Ensino médio,3,4,3,Pública,3.333333333333333
17,17,ETIM,Integrado,Parda,Feminino,2,16,2-3 vezes por semana,2,Regular,Boa,Regular,Regular,0,3,2,2,0,Sim,Fundamental ,Fundamental 1,5,5,5,Pública,5.0
180,180,ETIM,Integrado,Branca,Masculino,2,16,> 3 vezes por semana,1,Boa,Muito boa,Muito boa,Boa,2,0,2,2,0,Sim,Graduação,Pós-graduação,4,4,3,Pública,3.6666666666666665
66,66,ETIM,Integrado,Parda,Masculino,1,15,> 3 vezes por semana,2,Regular,Boa,Boa,Ruim,1,3,3,3,0,Sim,Ensino médio,Graduação,3,4,3,Pública,3.333333333333333
261,261,RB,Integrado,Branca,Masculino,2,16,2-3 vezes por semana,1,Boa,Muito boa,Boa,Boa,0,1,2,0,0,Sim,Pós-graduação,Pós-graduação,2,3,4,Privada,3.0
176,176,ETIM,Integrado,Branca,Masculino,2,17,> 3 vezes por semana,2,Ruim,Muito boa,Boa,Boa,1,2,4,2,2,Sim,Pós-graduação,Ensino médio,4,4,3,Pública,3.6666666666666665
94,94,ETIM,Integrado,Branca,Masculino,3,17,2-3 vezes por semana,0,Regular,Boa,Muito boa,Muito boa,0,0,0,0,0,Não,Graduação,Graduação,3,3,3,Pública,3.0
318,318,SJ,Integrado,Branca,Feminino,2,16,> 3 vezes por semana,0,Regular,Boa,Muito boa,Ruim,0,3,4,4,1,Não,Pós-graduação,Graduação,5,5,5,Privada,5.0
384,384,ETEC-BQ,Conc-Sub,Branca,Masculino,2,18,< 1 vez por semana,1,Ruim,Muito boa,Muito boa,Boa,0,0,2,0,0,Sim,Fundamental 2,Ensino médio,3,4,4,Pública,3.6666666666666665
23,23,ETIM,Integrado,Parda,Masculino,3,17,2-3 vezes por semana,0,Muito ruim,Boa,Regular,Boa,0,2,2,0,0,Sim,Graduação,Fundamental 2,2,4,3,Pública,3.0
210,210,IFSP,Integrado,Parda,Feminino,2,15,1-2 vezes por semana,1,Regular,Boa,Boa,Regular,0,0,0,1,0,Sim,Graduação,Ensino médio,3,4,3,Pública,3.333333333333333
346,346,ETEC-OS,Conc-Sub,Parda,Masculino,2,18,< 1 vez por semana,0,Muito boa,Muito boa,Muito boa,Muito boa,5,5,5,5,5,Sim,Fundamental 2,Fundamental 2,5,4,4,Pública,4.333333333333333
307,307,SJ,Integrado,Branca,Masculino,2,16,1-2 vezes por semana,1,Ruim,Muito boa,Boa,Boa,0,0,0,0,0,Sim,Graduação,Graduação,3,4,4,Privada,3.6666666666666665
5,5,ETIM,Integrado,Branca,Feminino,1,15,> 3 vezes por semana,2,Muito ruim,Muito boa,Muito boa,Boa,0,5,1,0,2,Sim,Graduação,Pós-graduação,2,4,5,Pública,3.6666666666666665
116,116,ETIM,Integrado,Negra,Masculino,2,16,2-3 vezes por semana,2,Ruim,Muito boa,Boa,Boa,5,0,6,0,4,Sim,Pós-graduação,Ensino médio,4,4,3,Pública,3.6666666666666665
45,45,ETIM,Integrado,Branca,Feminino,3,18,> 3 vezes por semana,2,Ruim,Boa,Regular,Muito ruim,0,5,6,3,3,Sim,Ensino médio,Fundamental 2,3,3,3,Pública,3.0
16,16,ETIM,Integrado,Branca,Feminino,2,17,< 1 vez por semana,0,Regular,Muito boa,Boa,Regular,0,1,3,0,0,Sim,Ensino médio,Ensino médio,4,4,4,Pública,4.0
452,452,ETEC-BQ,Conc-Sub,Branca,Masculino,4,19,> 3 vezes por semana,3,Muito ruim,Boa,Muito boa,Muito ruim,2,2,6,0,0,Não,Ensino médio,Fundamental 2,3,2,1,Pública,2.0
400,400,ETEC-BQ,Conc-Sub,Negra,Masculino,1,17,2-3 vezes por semana,2,Muito boa,Boa,Muito boa,Regular,4,4,5,4,0,Não,Fundamental 1,Fundamental 1,2,3,3,Pública,2.6666666666666665
3,3,ETIM,Integrado,Branca,Masculino,1,15,> 3 vezes por semana,0,Muito ruim,Muito boa,Boa,Boa,0,0,0,0,0,Sim,Ensino médio,Graduação,4,4,4,Pública,4.0
341,341,ETEC-OS,Conc-Sub,Parda,Feminino,1,19,1-2 vezes por semana,1,Regular,Boa,Boa,Muito boa,5,5,5,5,5,Sim,Ensino médio,Ensino médio,5,4,4,Pública,4.333333333333333
446,446,ETEC-BQ,Conc-Sub,Branca,Masculino,2,19,2-3 vezes por semana,0,Regular,Boa,Muito boa,Boa,0,2,2,0,0,Sim,Ensino médio,Ensino médio,3,4,4,Pública,3.6666666666666665
60,60,ETIM,Integrado,Parda,Masculino,2,16,1-2 vezes por semana,1,Regular,Muito boa,Regular,Regular,4,2,6,5,0,Sim,Ensino médio,Ensino médio,2,3,3,Pública,2.6666666666666665
110,110,ETIM,Integrado,Parda,Feminino,1,15,2-3 vezes por semana,1,Regular,Regular,Regular,Boa,1,0,2,5,1,Não,Ensino médio,Ensino médio,3,4,5,Pública,4.0
457,457,ETEC-HM,Conc-Sub,Parda,Feminino,2,19,< 1 vez por semana,0,Regular,Boa,Boa,Muito ruim,0,0,2,0,0,Sim,Graduação,Fundamental 2,2,5,4,Pública,3.6666666666666665
301,301,SJ,Integrado,Branca,Masculino,1,15,2-3 vezes por semana,1,Ruim,Boa,Regular,Muito ruim,3,0,6,6,2,Sim,Graduação,Pós-graduação,4,5,2,Privada,3.6666666666666665
29,29,ETIM,Integrado,Branca,Masculino,3,18,2-3 vezes por semana,0,Ruim,Boa,Muito boa,Muito ruim,0,3,4,0,3,Sim,Ensino médio,Ensino médio,4,5,4,Pública,4.333333333333333
175,175,ETIM,Integrado,Branca,Masculino,2,16,> 3 vezes por semana,2,Ruim,Regular,Regular,Regular,0,6,3,1,0,Sim,Ensino médio,Ensino médio,3,4,3,Pública,3.333333333333333
225,225,IFSP,Integrado,Branca,Feminino,2,16,> 3 vezes por semana,2,Boa,Regular,Boa,Regular,1,4,0,0,0,Não,Ensino médio,Ensino médio,4,3,3,Pública,3.333333333333333
26,26,ETIM,Integrado,Branca,Feminino,3,17,2-3 vezes por semana,1,Boa,Muito boa,Boa,Regular,0,2,1,0,0,Não,Graduação,Ensino médio,4,4,4,Pública,4.0
7,7,ETIM,Integrado,Parda,Feminino,1,16,2-3 vezes por semana,0,Boa,Muito boa,Muito boa,Muito boa,0,1,1,0,0,Não,Graduação,Ensino médio,2,4,3,Pública,3.0
444,444,ETEC-BQ,Conc-Sub,Negra,Masculino,4,19,2-3 vezes por semana,0,Regular,Muito boa,Muito boa,Regular,0,0,0,2,2,Não,Graduação,Graduação,4,4,4,Pública,4.0
108,108,ETIM,Integrado,Branca,Masculino,1,15,> 3 vezes por semana,0,Regular,Muito boa,Muito boa,Muito boa,0,0,0,1,0,Sim,Ensino médio,Ensino médio,4,5,4,Pública,4.333333333333333
37,37,ETIM,Integrado,Parda,Masculino,1,15,< 1 vez por semana,0,Boa,Boa,Muito boa,Muito ruim,0,1,0,1,0,Sim,Ensino médio,Ensino médio,1,5,4,Pública,3.333333333333333
157,157,ETIM,Integrado,Negra,Masculino,3,18,1-2 vezes por semana,0,Regular,Boa,Regular,Boa,0,0,1,0,0,Sim,Fundamental 1,Fundamental 1,1,3,3,Pública,2.333333333333333
456,456,ETEC-HM,Conc-Sub,Branca,Masculino,2,18,2-3 vezes por semana,0,Boa,Boa,Boa,Boa,0,0,0,0,0,Sim,Ensino médio,Ensino médio,4,5,4,Pública,4.333333333333333
118,118,ETIM,Integrado,Branca,Masculino,2,17,2-3 vezes por semana,1,Ruim,Muito boa,Boa,Muito boa,1,0,5,2,1,Sim,Graduação,Ensino médio,4,4,3,Pública,3.6666666666666665
114,114,ETIM,Integrado,Parda,Masculino,2,16,2-3 vezes por semana,2,Ruim,Boa,Boa,Regular,0,2,3,1,0,Sim,Ensino médio,Ensino médio,4,4,4,Pública,4.0
227,227,IFSP,Integrado,Parda,Masculino,2,16,2-3 vezes por semana,1,Regular,Muito boa,Boa,Muito ruim,0,0,0,0,0,Sim,Pós-graduação,Ensino médio,4,5,3,Pública,4.0
172,172,ETIM,Integrado,Branca,Feminino,2,17,> 3 vezes por semana,2,Muito ruim,Boa,Boa,Muito ruim,0,3,6,0,0,Não,Graduação,Ensino médio,4,5,5,Pública,4.666666666666667
144,144,ETIM,Integrado,Branca,Feminino,2,16,> 3 vezes por semana,2,Boa,Boa,Boa,Muito boa,3,2,2,2,0,Sim,Graduação,Pós-graduação,1,4,3,Pública,2.6666666666666665
362,362,ETEC-BQ,Conc-Sub,Negra,Masculino,1,18,> 3 vezes por semana,1,Regular,Boa,Boa,Boa,0,0,0,0,0,Não,Ensino médio,Ensino médio,5,4,4,Pública,4.333333333333333
473,473,ETEC-HM,Conc-Sub,Negra,Feminino,2,18,1-2 vezes por semana,0,Boa,Boa,Muito boa,Regular,0,4,0,0,0,Sim,Fundamental 1,Fundamental 2,4,4,4,Pública,4.0
185,185,ETIM,Integrado,Negra,Masculino,3,19,< 1 vez por semana,0,Ruim,Regular,Boa,Ruim,2,0,4,6,0,Sim,Graduação,Fundamental 1,5,4,3,Pública,4.0
203,203,IFSP,Integrado,Negra,Feminino,2,17,1-2 vezes por semana,2,Regular,Muito boa,Regular,Regular,1,0,1,0,0,Sim,Fundamental 2,Fundamental 1,4,4,3,Pública,3.6666666666666665
418,418,ETEC-BQ,Conc-Sub,Parda,Masculino,1,16,2-3 vezes por semana,0,Boa,Muito boa,Regular,Boa,1,0,3,0,1,Sim,Ensino médio,Ensino médio,3,4,3,Pública,3.333333333333333
436,436,ETEC-BQ,Conc-Sub,Parda,Masculino,1,19,1-2 vezes por semana,0,Ruim,Muito boa,Muito boa,Muito boa,0,0,0,0,0,Não,Ensino médio,Ensino médio,5,4,3,Pública,4.0
141,141,ETIM,Integrado,Branca,Feminino,2,16,< 1 vez por semana,1,Regular,Muito boa,Boa,Muito boa,0,0,0,0,0,Sim,Graduação,Pós-graduação,4,3,3,Pública,3.333333333333333
358,358,ETEC-BQ,Conc-Sub,Parda,Masculino,1,18,< 1 vez por semana,0,Boa,Muito boa,Muito boa,Boa,0,0,0,0,0,Sim,Fundamental 1,Fundamental 1,5,4,4,Pública,4.333333333333333
67,67,ETIM,Integrado,Branca,Masculino,1,15,2-3 vezes por semana,0,Regular,Boa,Boa,Ruim,1,1,6,0,0,Sim,Ensino médio,Ensino médio,3,5,5,Pública,4.333333333333333
199,199,IFSP,Integrado,Branca,Masculino,2,16,< 1 vez por semana,0,Boa,Muito boa,Muito boa,Boa,0,0,0,0,0,Sim,Graduação,Pós-graduação,4,4,4,Pública,4.0
168,168,ETIM,Integrado,Parda,Feminino,1,15,< 1 vez por semana,2,Ruim,Muito boa,Muito boa,Boa,0,1,0,0,0,Sim,Graduação,Ensino médio,4,3,1,Pública,2.6666666666666665
368,368,ETEC-BQ,Conc-Sub,Negra,Masculino,1,18,> 3 vezes por semana,1,Regular,Boa,Boa,Boa,0,0,1,0,0,Sim,Fundamental 2,Ensino médio,5,3,2,Pública,3.333333333333333
402,402,ETEC-BQ,Conc-Sub,Branca,Masculino,1,16,> 3 vezes por semana,0,Regular,Boa,Boa,Regular,0,1,5,3,0,Sim,Ensino médio,Ensino médio,5,4,3,Pública,4.0
234,234,IFSP,Integrado,Branca,Feminino,1,15,2-3 vezes por semana,0,Regular,Muito boa,Boa,Boa,0,0,0,0,0,Sim,Ensino médio,Ensino médio,2,4,4,Pública,3.333333333333333
109,109,ETIM,Integrado,Branca,Masculino,1,16,> 3 vezes por semana,1,Ruim,Boa,Regular,Regular,2,2,3,0,0,Não,Graduação,Ensino médio,2,2,2,Pública,2.0
476,476,ETEC-HM,Conc-Sub,Branca,Feminino,2,18,2-3 vezes por semana,0,Muito boa,Ruim,Muito boa,Boa,0,0,0,0,0,Não,Ensino médio,Ensino médio,4,4,4,Pública,4.0
145,145,ETIM,Integrado,Parda,Feminino,1,16,2-3 vezes por semana,2,Regular,Boa,Boa,Ruim,2,3,2,1,0,Sim,Ensino médio,Ensino médio,2,4,2,Pública,2.6666666666666665
455,455,ETEC-BQ,Conc-Sub,Branca,Masculino,1,19,< 1 vez por semana,2,Regular,Muito boa,Boa,Regular,0,2,3,4,0,Não,Graduação,Graduação,4,4,3,Pública,3.6666666666666665
152,152,ETIM,Integrado,Parda,Feminino,1,15,2-3 vezes por semana,3,Ruim,Boa,Regular,Ruim,1,4,3,1,0,Não,Ensino médio,Graduação,5,3,2,Pública,3.333333333333333
253,253,RB,Integrado,Branca,Feminino,2,15,2-3 vezes por semana,2,Boa,Boa,Boa,Muito boa,0,0,0,0,0,Sim,Pós-graduação,Pós-graduação,4,5,5,Privada,4.666666666666667
218,218,IFSP,Integrado,Branca,Feminino,2,16,> 3 vezes por semana,0,Boa,Ruim,Muito boa,Boa,0,6,3,2,4,Não,Graduação,Ensino médio,3,5,4,Pública,4.0
83,83,ETIM,Integrado,Branca,Masculino,3,18,< 1 vez por semana,0,Regular,Boa,Boa,Muito boa,0,0,0,0,0,Sim,Ensino médio,Ensino médio,3,4,5,Pública,4.0
296,296,SJ,Integrado,Branca,Feminino,1,15,1-2 vezes por semana,0,Muito ruim,Muito boa,Muito boa,Ruim,0,0,0,0,0,Sim,Graduação,Graduação,5,4,5,Privada,4.666666666666667
165,165,ETIM,Integrado,Branca,Masculino,1,15,< 1 vez por semana,0,Regular,Muito boa,Boa,Muito boa,0,0,0,4,0,Sim,Ensino médio,Ensino médio,4,4,3,Pública,3.6666666666666665
248,248,RB,Integrado,Branca,Feminino,1,15,> 3 vezes por semana,0,Boa,Boa,Boa,Regular,0,1,0,0,0,Sim,Pós-graduação,Pós-graduação,5,4,4,Privada,4.333333333333333
228,228,IFSP,Integrado,Negra,Feminino,1,15,1-2 vezes por semana,1,Boa,Boa,Boa,Regular,0,2,3,0,0,Sim,Ensino médio,Ensino médio,3,4,2,Pública,3.0
74,74,ETIM,Integrado,Branca,Masculino,3,17,< 1 vez por semana,0,Regular,Muito boa,Boa,Regular,0,0,0,0,0,Não,Ensino médio,Ensino médio,4,3,4,Pública,3.6666666666666665
399,399,ETEC-BQ,Conc-Sub,Negra,Masculino,1,16,< 1 vez por semana,0,Regular,Muito boa,Muito boa,Boa,0,0,0,2,0,Sim,Fundamental 2,Fundamental 2,4,3,4,Pública,3.6666666666666665
266,266,RB,Integrado,Branca,Masculino,2,16,2-3 vezes por semana,2,Regular,Muito boa,Muito boa,Regular,0,0,1,0,0,Sim,Pós-graduação,Pós-graduação,3,5,2,Privada,3.333333333333333
238,238,RB,Integrado,Parda,Feminino,1,15,> 3 vezes por semana,2,Regular,Muito boa,Regular,Regular,0,6,3,3,0,Não,Pós-graduação,Pós-graduação,2,4,4,Privada,3.333333333333333
119,119,ETIM,Integrado,Branca,Masculino,2,16,2-3 vezes por semana,0,Ruim,Muito boa,Boa,Boa,0,1,6,0,1,Sim,Pós-graduação,Pós-graduação,4,4,4,Pública,4.0
277,277,RB,Integrado,Branca,Feminino,3,16,2-3 vezes por semana,1,Ruim,Regular,Regular,Boa,1,6,3,1,5,Sim,Pós-graduação,Pós-graduação,3,4,4,Privada,3.6666666666666665
294,294,RB,Integrado,Branca,Feminino,3,17,> 3 vezes por semana,1,Ruim,Muito boa,Boa,Boa,0,5,0,0,1,Sim,Graduação,Graduação,1,4,3,Privada,2.6666666666666665
441,441,ETEC-BQ,Conc-Sub,Branca,Masculino,2,18,1-2 vezes por semana,0,Muito boa,Muito boa,Muito boa,Boa,0,0,0,0,0,Sim,Ensino médio,Graduação,4,4,4,Pública,4.0
347,347,ETEC-OS,Conc-Sub,Parda,Masculino,3,18,> 3 vezes por semana,1,Regular,Boa,Boa,Boa,4,4,4,4,4,Não,Graduação,Graduação,4,3,4,Pública,3.6666666666666665
351,351,ETEC-BQ,Conc-Sub,Branca,Feminino,2,17,> 3 vezes por semana,2,Regular,Boa,Regular,Regular,0,0,0,0,0,Não,Ensino médio,Fundamental 2,5,4,4,Pública,4.333333333333333
244,244,RB,Integrado,Branca,Feminino,1,15,< 1 vez por semana,1,Muito boa,Muito boa,Muito boa,Muito boa,0,1,1,2,0,Sim,Pós-graduação,Pós-graduação,2,4,3,Privada,3.0
222,222,IFSP,Integrado,Negra,Feminino,2,17,1-2 vezes por semana,0,Ruim,Muito boa,Boa,Muito boa,0,0,0,0,0,Sim,Ensino médio,Ensino médio,3,5,4,Pública,4.0
375,375,ETEC-BQ,Conc-Sub,Branca,Masculino,2,18,< 1 vez por semana,1,Ruim,Muito boa,Muito boa,Muito boa,2,2,4,0,2,Sim,Fundamental 1,Fundamental 1,3,4,4,Pública,3.6666666666666665
406,406,ETEC-BQ,Conc-Sub,Parda,Masculino,4,18,> 3 vezes por semana,0,Ruim,Muito boa,Muito boa,Boa,0,5,1,0,2,Sim,Ensino médio,Fundamental 2,5,4,4,Pública,4.333333333333333
36,36,ETIM,Integrado,Branca,Feminino,1,15,< 1 vez por semana,1,Regular,Muito boa,Muito boa,Boa,0,0,0,0,0,Sim,Graduação,Ensino médio,4,5,3,Pública,4.0
196,196,IFSP,Integrado,Branca,Masculino,2,16,< 1 vez por semana,0,Regular,Muito boa,Muito boa,Muito boa,2,0,0,0,0,Sim,Pós-graduação,Pós-graduação,5,5,5,Pública,5.0
139,139,ETIM,Integrado,Branca,Feminino,2,16,> 3 vezes por semana,3,Regular,Regular,Boa,Muito ruim,3,4,2,0,0,Sim,Graduação,Ensino médio,3,4,4,Pública,3.6666666666666665
357,357,ETEC-BQ,Conc-Sub,Branca,Masculino,1,16,1-2 vezes por semana,0,Boa,Muito boa,Regular,Regular,0,0,1,0,0,Sim,Ensino médio,Ensino médio,4,3,2,Pública,3.0
412,412,ETEC-BQ,Conc-Sub,Negra,Masculino,4,18,1-2 vezes por semana,1,Boa,Boa,Muito boa,Boa,0,0,0,0,0,Não,Fundamental 1,Fundamental 1,4,4,4,Pública,4.0
280,280,RB,Integrado,Branca,Feminino,3,18,> 3 vezes por semana,0,Boa,Muito boa,Boa,Muito boa,0,1,0,0,0,Sim,Graduação,Graduação,3,4,4,Privada,3.6666666666666665
281,281,RB,Integrado,Branca,Feminino,3,17,1-2 vezes por semana,3,Regular,Muito boa,Boa,Regular,0,0,1,0,0,Sim,Graduação,Graduação,3,5,4,Privada,4.0
59,59,ETIM,Integrado,Branca,Masculino,2,17,< 1 vez por semana,0,Regular,Boa,Boa,Boa,4,2,4,0,0,Sim,Ensino médio,Ensino médio,5,3,4,Pública,4.0
111,111,ETIM,Integrado,Branca,Masculino,2,16,1-2 vezes por semana,3,Ruim,Muito boa,Regular,Muito boa,4,3,6,1,0,Não,Graduação,Ensino médio,3,5,4,Pública,4.0
287,287,RB,Integrado,Branca,Masculino,3,18,> 3 vezes por semana,0,Ruim,Muito boa,Muito boa,Boa,0,0,4,0,0,Sim,Graduação,Graduação,3,5,4,Privada,4.0
409,409,ETEC-BQ,Conc-Sub,Branca,Masculino,4,18,2-3 vezes por semana,1,Ruim,Regular,Boa,Regular,1,6,6,2,3,Sim,Ensino médio,Graduação,4,3,4,Pública,3.6666666666666665
6,6,ETIM,Integrado,Parda,Masculino,1,16,> 3 vezes por semana,1,Ruim,Boa,Boa,Regular,0,0,0,0,0,Sim,Ensino médio,Graduação,3,3,3,Pública,3.0
353,353,ETEC-BQ,Conc-Sub,Branca,Masculino,2,18,> 3 vezes por semana,0,Regular,Boa,Boa,Boa,0,0,0,0,0,Sim,Ensino médio,Ensino médio,4,3,3,Pública,3.333333333333333
423,423,ETEC-BQ,Conc-Sub,Branca,Masculino,2,18,> 3 vezes por semana,0,Muito boa,Boa,Boa,Muito boa,3,3,6,5,0,Sim,Pós-graduação,Graduação,3,3,3,Pública,3.0
332,332,ETEC-OS,Conc-Sub,Negra,Feminino,1,19,< 1 vez por semana,0,Regular,Muito boa,Regular,Boa,4,4,4,4,4,Sim,Fundamental 1,Fundamental 1,3,4,4,Pública,3.6666666666666665
158,158,ETIM,Integrado,Branca,Masculino,3,18,> 3 vezes por semana,0,Regular,Boa,Regular,Muito boa,1,0,3,2,2,Sim,Pós-graduação,Ensino médio,4,4,4,Pública,4.0
150,150,ETIM,Integrado,Branca,Masculino,1,15,2-3 vezes por semana,0,Regular,Muito boa,Boa,Muito boa,0,0,1,0,0,Sim,Ensino médio,Ensino médio,4,5,4,Pública,4.333333333333333
177,177,ETIM,Integrado,Branca,Masculino,2,16,2-3 vezes por semana,0,Ruim,Ruim,Regular,Muito ruim,4,4,6,2,2,Sim,Ensino médio,Ensino médio,2,4,3,Pública,3.0
